지역,인구,승객화물,침대,승객화물,비상,장애인,전망,화물,자동차,승객소형,에스컬레이터,무빙워크,덤웨이터,휠체어리프트
강남구,539235,7978,48,80,1855,3309,284,99,1016,15,1088,20,157,112
강동구,458058,2388,35,121,1210,1849,30,43,176,0,289,40,52,20
강북구,309996,1585,18,19,448,764,24,21,65,0,157,10,30,11
강서구,583544,3530,51,81,1353,2965,58,154,207,0,787,128,51,25
관악구,498574,2964,21,28,746,1719,39,65,112,1,176,26,69,17
광진구,348064,2482,18,26,515,1009,36,48,107,2,216,8,51,16
구로구,405579,1753,26,50,1383,1335,69,135,139,0,428,58,38,44
금천구,232157,1383,11,46,588,1067,77,276,117,1,308,46,28,22
노원구,525486,2835,33,18,744,1141,49,71,181,0,247,47,74,45
도봉구,327248,1682,20,26,587,780,21,31,105,0,36,40,38,30
동대문구,344416,1691,37,37,1144,1207,36,51,126,1,236,52,50,36
동작구,393554,1924,20,20,884,1328,18,37,50,0,292,4,38,27
마포구,373508,2732,12,30,1244,1773,71,66,140,3,475,32,58,47
서대문구,313212,1699,34,34,869,1053,57,50,61,2,215,0,58,26
서초구,426009,4676,43,66,1330,2400,114,98,653,7,804,58,92,67
성동구,295591,1163,14,43,1147,1112,37,151,201,0,255,28,34,16
성북구,439719,1903,29,33,1520,1433,57,50,77,11,192,22,59,35
송파구,670331,4863,45,69,1755,1850,99,145,291,2,940,81,75,50
양천구,456240,2454,30,19,795,1334,24,74,105,1,171,34,62,17
영등포구,375630,2972,62,72,1407,1652,68,106,304,1,739,76,43,38
용산구,229786,1632,15,42,543,998,68,61,100,9,425,22,50,30
은평구,481546,2464,32,50,750,2345,27,30,52,2,219,62,60,24
종로구,149952,1950,33,40,404,970,92,55,120,30,388,2,83,56
중구,125800,2410,24,65,648,1117,81,111,202,2,1288,28,102,62
중랑구,395997,2205,37,33,624,1264,18,43,62,1,145,66,26,12
